feature,importance
num__noaa_origin_dep_precip_1h_flag,0.07927251
cat__DEST_LAS,0.067994356
cat__DEST_DFW,0.06105646
cat__ORIGIN_DFW,0.0580555
cat__DEST_SAN,0.04868245
num__noaa_origin_dep_ifr_flag,0.040129375
num__noaa_origin_dep_wind_speed_ms,0.035782415
cat__DEST_LAX,0.035596225
num__noaa_dest_arr_sea_level_pressure_hpa,0.029625872
num__CRS_ARR_TIME,0.026575545
num__noaa_dest_arr_wind_speed_ms,0.0257923
num__noaa_origin_dep_ceiling_ft,0.021940028
num__noaa_dest_arr_ceiling_ft,0.021668475
num__CRS_DEP_TIME,0.021598715
num__DAY_OF_MONTH,0.020341462
cat__DEST_MIA,0.019079829
num__noaa_dest_arr_temperature_c,0.017694414
num__noaa_origin_dep_dewpoint_c,0.016868187
num__noaa_origin_dep_obs_age_minutes,0.016152347
cat__ORIGIN_OKC,0.015928624
num__noaa_origin_dep_visibility_m,0.015316191
num__CRS_ELAPSED_TIME,0.015307572
num__noaa_origin_dep_temperature_c,0.01431735
cat__DEST_ORD,0.014290735
cat__ORIGIN_DEN,0.013940888
num__noaa_dest_arr_visibility_m,0.0125356475
num__noaa_origin_dep_sea_level_pressure_hpa,0.012261199
cat__ORIGIN_CLT,0.012160407
num__DISTANCE,0.011857977
cat__DEST_MCO,0.011841669
cat__DEST_EGE,0.011169224
num__noaa_dest_arr_dewpoint_c,0.011119945
num__noaa_dest_arr_obs_age_minutes,0.010676171
cat__DEST_CLT,0.010310098
cat__ORIGIN_SAT,0.009437523
cat__ORIGIN_MFE,0.008766024
cat__DEST_PHL,0.007483798
cat__ORIGIN_CVG,0.0068117096
cat__DEST_VPS,0.006260853
num__noaa_dest_arr_ifr_flag,0.0057292012
cat__ORIGIN_RSW,0.0057194433
cat__ORIGIN_LBB,0.0057138274
cat__DEST_PIT,0.0056136823
cat__DEST_BNA,0.004613152
cat__ORIGIN_LGA,0.0038766481
cat__DEST_RSW,0.0037808307
cat__DEST_PSP,0.003616165
cat__ORIGIN_BNA,0.0035508461
num__noaa_dest_arr_precip_1h_flag,0.003433995
cat__ORIGIN_CLE,0.0032629538
cat__ORIGIN_BHM,0.002558157
cat__DEST_SLC,0.0024768405
cat__ORIGIN_MSY,0.0023955032
cat__ORIGIN_ATL,0.0023725596
cat__DEST_TPA,0.002157416
cat__ORIGIN_PDX,0.0020756465
cat__ORIGIN_ONT,0.002005936
cat__ORIGIN_TUL,0.002002303
cat__ORIGIN_HDN,0.0019519433
cat__ORIGIN_MIA,0.0019399623
cat__DEST_LGA,0.0019047937
cat__DEST_SNA,0.0018914593
cat__ORIGIN_ORF,0.00181663
cat__ORIGIN_CID,0.0017973576
cat__ORIGIN_RIC,0.0017931736
cat__ORIGIN_DTW,0.0015214033
cat__ORIGIN_MCI,0.0014654394
cat__ORIGIN_SDF,0.0013881559
cat__ORIGIN_BFL,0.0013635941
cat__DEST_DEN,0.0013503644
cat__DEST_BOS,0.0012488127
cat__ORIGIN_RNO,0.0011090207
